"vd_dc
References : ['mag(AC.I_Probe1.i)']
Dependency : [vd_dc]
Num. Points : [51]
Matrix Size : scalar
Type : Real","vg_dc
References : ['mag(AC.I_Probe1.i)']
Dependency : [vd_dc,vg_dc]
Num. Points : [51,51]
Matrix Size : scalar
Type : Real","freq
References : ['mag(AC.I_Probe1.i)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","mag(AC.I_Probe1.i)
References : []
Dependency : [vd_dc,vg_dc,freq]
Num. Points : [51,51,51]
Matrix Size : scalar
Type : Real"
vd_dc, vg_dc, freq, ids_ac
0.000,0.700,125.9e6,1.366E-5
0.000,0.700,158.5e6,1.719E-5
0.000,0.700,199.5e6,2.165E-5
0.000,0.700,251.2e6,2.725E-5
0.000,0.700,316.2e6,3.431E-5
0.000,0.700,398.1e6,4.319E-5
0.000,0.700,501.2e6,5.437E-5
0.000,0.700,631.0e6,6.845E-5
0.000,0.700,794.3e6,8.617E-5
0.000,0.700,1.000e9,1.085E-4
0.000,0.700,1.259e9,1.366E-4
0.000,0.700,1.585e9,1.719E-4
0.000,0.700,1.995e9,2.165E-4
0.000,0.700,2.512e9,2.725E-4
0.000,0.700,3.162e9,3.431E-4
0.000,0.700,3.981e9,4.319E-4
0.000,0.700,5.012e9,0.001
0.000,0.700,6.310e9,0.001
0.000,0.700,7.943e9,0.001
0.000,0.700,10.00e9,0.001
0.000,0.800,100.0e3,1.085E-8
0.000,0.800,125.9e3,1.366E-8
0.000,0.800,158.5e3,1.719E-8
0.000,0.800,199.5e3,2.165E-8
0.000,0.800,251.2e3,2.725E-8
0.000,0.800,316.2e3,3.431E-8
0.000,0.800,398.1e3,4.319E-8
0.000,0.800,501.2e3,5.437E-8
0.000,0.800,631.0e3,6.845E-8
0.000,0.800,794.3e3,8.617E-8
0.000,0.800,1.000e6,1.085E-7
0.000,0.800,1.259e6,1.366E-7
0.000,0.800,1.585e6,1.719E-7
0.000,0.800,1.995e6,2.165E-7
0.000,0.800,2.512e6,2.725E-7
0.000,0.800,3.162e6,3.431E-7
0.000,0.800,3.981e6,4.319E-7
0.000,0.800,5.012e6,5.437E-7
0.000,0.800,6.310e6,6.845E-7
0.000,0.800,7.943e6,8.617E-7
0.000,0.800,10.00e6,1.085E-6
0.000,0.800,12.59e6,1.366E-6
0.000,0.800,15.85e6,1.719E-6
0.000,0.800,19.95e6,2.165E-6
0.000,0.800,25.12e6,2.725E-6
0.000,0.800,31.62e6,3.431E-6
0.000,0.800,39.81e6,4.319E-6
0.000,0.800,50.12e6,5.437E-6
0.000,0.800,63.10e6,6.845E-6
0.000,0.800,79.43e6,8.617E-6
0.000,0.800,100.0e6,1.085E-5
0.000,0.800,125.9e6,1.366E-5
0.000,0.800,158.5e6,1.719E-5
0.000,0.800,199.5e6,2.165E-5
0.000,0.800,251.2e6,2.725E-5
0.000,0.800,316.2e6,3.431E-5
0.000,0.800,398.1e6,4.319E-5
0.000,0.800,501.2e6,5.437E-5
0.000,0.800,631.0e6,6.845E-5
0.000,0.800,794.3e6,8.617E-5
0.000,0.800,1.000e9,1.085E-4
0.000,0.800,1.259e9,1.366E-4
0.000,0.800,1.585e9,1.719E-4
0.000,0.800,1.995e9,2.165E-4
0.000,0.800,2.512e9,2.725E-4
0.000,0.800,3.162e9,3.431E-4
0.000,0.800,3.981e9,4.319E-4
0.000,0.800,5.012e9,0.001
0.000,0.800,6.310e9,0.001
0.000,0.800,7.943e9,0.001
0.000,0.800,10.00e9,0.001
0.000,0.900,100.0e3,1.085E-8
0.000,0.900,125.9e3,1.366E-8
0.000,0.900,158.5e3,1.719E-8
0.000,0.900,199.5e3,2.165E-8
0.000,0.900,251.2e3,2.725E-8
0.000,0.900,316.2e3,3.431E-8
0.000,0.900,398.1e3,4.319E-8
0.000,0.900,501.2e3,5.437E-8
0.000,0.900,631.0e3,6.845E-8
0.000,0.900,794.3e3,8.617E-8
0.000,0.900,1.000e6,1.085E-7
0.000,0.900,1.259e6,1.366E-7
0.000,0.900,1.585e6,1.719E-7
0.000,0.900,1.995e6,2.165E-7
0.000,0.900,2.512e6,2.725E-7
0.000,0.900,3.162e6,3.431E-7
0.000,0.900,3.981e6,4.319E-7
0.000,0.900,5.012e6,5.437E-7
0.000,0.900,6.310e6,6.845E-7
0.000,0.900,7.943e6,8.617E-7
0.000,0.900,10.00e6,1.085E-6
0.000,0.900,12.59e6,1.366E-6
0.000,0.900,15.85e6,1.719E-6
0.000,0.900,19.95e6,2.165E-6
0.000,0.900,25.12e6,2.725E-6
0.000,0.900,31.62e6,3.431E-6
0.000,0.900,39.81e6,4.319E-6
0.000,0.900,50.12e6,5.437E-6
0.000,0.900,63.10e6,6.845E-6
0.000,0.900,79.43e6,8.617E-6
0.000,0.900,100.0e6,1.085E-5
0.000,0.900,125.9e6,1.366E-5
0.000,0.900,158.5e6,1.719E-5
0.000,0.900,199.5e6,2.165E-5
0.000,0.900,251.2e6,2.725E-5
0.000,0.900,316.2e6,3.431E-5
0.000,0.900,398.1e6,4.319E-5
0.000,0.900,501.2e6,5.437E-5
0.000,0.900,631.0e6,6.845E-5
0.000,0.900,794.3e6,8.617E-5
0.000,0.900,1.000e9,1.085E-4
0.000,0.900,1.259e9,1.366E-4
0.000,0.900,1.585e9,1.719E-4
0.000,0.900,1.995e9,2.165E-4
0.000,0.900,2.512e9,2.725E-4
0.000,0.900,3.162e9,3.431E-4
0.000,0.900,3.981e9,4.319E-4
0.000,0.900,5.012e9,0.001
0.000,0.900,6.310e9,0.001
0.000,0.900,7.943e9,0.001
0.000,0.900,10.00e9,0.001
0.000,1.000,100.0e3,1.085E-8
0.000,1.000,125.9e3,1.366E-8
0.000,1.000,158.5e3,1.719E-8
0.000,1.000,199.5e3,2.165E-8
0.000,1.000,251.2e3,2.725E-8
0.000,1.000,316.2e3,3.431E-8
0.000,1.000,398.1e3,4.319E-8
0.000,1.000,501.2e3,5.437E-8
0.000,1.000,631.0e3,6.845E-8
0.000,1.000,794.3e3,8.617E-8
0.000,1.000,1.000e6,1.085E-7
0.000,1.000,1.259e6,1.366E-7
0.000,1.000,1.585e6,1.719E-7
0.000,1.000,1.995e6,2.165E-7
0.000,1.000,2.512e6,2.725E-7
0.000,1.000,3.162e6,3.431E-7
0.000,1.000,3.981e6,4.319E-7
0.000,1.000,5.012e6,5.437E-7
0.000,1.000,6.310e6,6.845E-7
0.000,1.000,7.943e6,8.617E-7
0.000,1.000,10.00e6,1.085E-6
0.000,1.000,12.59e6,1.366E-6
0.000,1.000,15.85e6,1.719E-6
0.000,1.000,19.95e6,2.165E-6
0.000,1.000,25.12e6,2.725E-6
0.000,1.000,31.62e6,3.431E-6
0.000,1.000,39.81e6,4.319E-6
0.000,1.000,50.12e6,5.437E-6
0.000,1.000,63.10e6,6.845E-6
0.000,1.000,79.43e6,8.617E-6
0.000,1.000,100.0e6,1.085E-5
0.000,1.000,125.9e6,1.366E-5
0.000,1.000,158.5e6,1.719E-5
0.000,1.000,199.5e6,2.165E-5
0.000,1.000,251.2e6,2.725E-5
0.000,1.000,316.2e6,3.431E-5
0.000,1.000,398.1e6,4.319E-5
0.000,1.000,501.2e6,5.437E-5
0.000,1.000,631.0e6,6.845E-5
0.000,1.000,794.3e6,8.617E-5
0.000,1.000,1.000e9,1.085E-4
0.000,1.000,1.259e9,1.366E-4
0.000,1.000,1.585e9,1.719E-4
0.000,1.000,1.995e9,2.165E-4
0.000,1.000,2.512e9,2.725E-4
0.000,1.000,3.162e9,3.431E-4
0.000,1.000,3.981e9,4.319E-4
0.000,1.000,5.012e9,0.001
0.000,1.000,6.310e9,0.001
0.000,1.000,7.943e9,0.001
0.000,1.000,10.00e9,0.001
0.000,1.100,100.0e3,1.085E-8
0.000,1.100,125.9e3,1.366E-8
0.000,1.100,158.5e3,1.719E-8
0.000,1.100,199.5e3,2.165E-8
0.000,1.100,251.2e3,2.725E-8
0.000,1.100,316.2e3,3.431E-8
0.000,1.100,398.1e3,4.319E-8
0.000,1.100,501.2e3,5.437E-8
0.000,1.100,631.0e3,6.845E-8
0.000,1.100,794.3e3,8.617E-8
0.000,1.100,1.000e6,1.085E-7
0.000,1.100,1.259e6,1.366E-7
0.000,1.100,1.585e6,1.719E-7
0.000,1.100,1.995e6,2.165E-7
0.000,1.100,2.512e6,2.725E-7
0.000,1.100,3.162e6,3.431E-7
0.000,1.100,3.981e6,4.319E-7
0.000,1.100,5.012e6,5.437E-7
0.000,1.100,6.310e6,6.845E-7
0.000,1.100,7.943e6,8.617E-7
0.000,1.100,10.00e6,1.085E-6
0.000,1.100,12.59e6,1.366E-6
0.000,1.100,15.85e6,1.719E-6
0.000,1.100,19.95e6,2.165E-6
0.000,1.100,25.12e6,2.725E-6
0.000,1.100,31.62e6,3.431E-6
0.000,1.100,39.81e6,4.319E-6
0.000,1.100,50.12e6,5.437E-6
0.000,1.100,63.10e6,6.845E-6
0.000,1.100,79.43e6,8.617E-6
0.000,1.100,100.0e6,1.085E-5
0.000,1.100,125.9e6,1.366E-5
0.000,1.100,158.5e6,1.719E-5
0.000,1.100,199.5e6,2.165E-5
0.000,1.100,251.2e6,2.725E-5
0.000,1.100,316.2e6,3.431E-5
0.000,1.100,398.1e6,4.319E-5
0.000,1.100,501.2e6,5.437E-5
0.000,1.100,631.0e6,6.845E-5
0.000,1.100,794.3e6,8.617E-5
0.000,1.100,1.000e9,1.085E-4
0.000,1.100,1.259e9,1.366E-4
0.000,1.100,1.585e9,1.719E-4
0.000,1.100,1.995e9,2.165E-4
0.000,1.100,2.512e9,2.725E-4
0.000,1.100,3.162e9,3.431E-4
0.000,1.100,3.981e9,4.319E-4
0.000,1.100,5.012e9,0.001
0.000,1.100,6.310e9,0.001
0.000,1.100,7.943e9,0.001
0.000,1.100,10.00e9,0.001
0.000,1.200,100.0e3,1.085E-8
0.000,1.200,125.9e3,1.366E-8
0.000,1.200,158.5e3,1.719E-8
0.000,1.200,199.5e3,2.165E-8
0.000,1.200,251.2e3,2.725E-8
0.000,1.200,316.2e3,3.431E-8
0.000,1.200,398.1e3,4.319E-8
0.000,1.200,501.2e3,5.437E-8
0.000,1.200,631.0e3,6.845E-8
0.000,1.200,794.3e3,8.617E-8
0.000,1.200,1.000e6,1.085E-7
