vd_dc, vg_dc, freq, i_ds (ac)
0.000,0.350,3.162 MHz,9.121E-11
0.000,0.350,3.981 MHz,1.148E-10
0.000,0.350,5.012 MHz,1.446E-10
0.000,0.350,6.310 MHz,1.820E-10
0.000,0.350,7.943 MHz,2.291E-10
0.000,0.350,10.00 MHz,2.884E-10
0.000,0.350,12.59 MHz,3.631E-10
0.000,0.350,15.85 MHz,4.571E-10
0.000,0.350,19.95 MHz,5.755E-10
0.000,0.350,25.12 MHz,7.245E-10
0.000,0.350,31.62 MHz,9.121E-10
0.000,0.350,39.81 MHz,1.148E-9
0.000,0.350,50.12 MHz,1.446E-9
0.000,0.350,63.10 MHz,1.820E-9
0.000,0.350,79.43 MHz,2.291E-9
0.000,0.350,100.0 MHz,2.884E-9
0.000,0.350,125.9 MHz,3.631E-9
0.000,0.350,158.5 MHz,4.571E-9
0.000,0.350,199.5 MHz,5.755E-9
0.000,0.350,251.2 MHz,7.245E-9
0.000,0.350,316.2 MHz,9.121E-9
0.000,0.350,398.1 MHz,1.148E-8
0.000,0.350,501.2 MHz,1.446E-8
0.000,0.350,631.0 MHz,1.820E-8
0.000,0.350,794.3 MHz,2.291E-8
0.000,0.350,1.000 GHz,2.884E-8
0.000,0.350,1.259 GHz,3.631E-8
0.000,0.350,1.585 GHz,4.571E-8
0.000,0.350,1.995 GHz,5.755E-8
0.000,0.350,2.512 GHz,7.245E-8
0.000,0.350,3.162 GHz,9.121E-8
0.000,0.350,3.981 GHz,1.148E-7
0.000,0.350,5.012 GHz,1.446E-7
0.000,0.350,6.310 GHz,1.820E-7
0.000,0.350,7.943 GHz,2.291E-7
0.000,0.350,10.00 GHz,2.884E-7
0.000,0.400,100.0 kHz,2.986E-12
0.000,0.400,125.9 kHz,3.736E-12
0.000,0.400,158.5 kHz,4.684E-12
0.000,0.400,199.5 kHz,5.882E-12
0.000,0.400,251.2 kHz,7.393E-12
0.000,0.400,316.2 kHz,9.298E-12
0.000,0.400,398.1 kHz,1.170E-11
0.000,0.400,501.2 kHz,1.472E-11
0.000,0.400,631.0 kHz,1.853E-11
0.000,0.400,794.3 kHz,2.332E-11
0.000,0.400,1.000 MHz,2.936E-11
0.000,0.400,1.259 MHz,3.695E-11
0.000,0.400,1.585 MHz,4.652E-11
0.000,0.400,1.995 MHz,5.856E-11
0.000,0.400,2.512 MHz,7.373E-11
0.000,0.400,3.162 MHz,9.281E-11
0.000,0.400,3.981 MHz,1.168E-10
0.000,0.400,5.012 MHz,1.471E-10
0.000,0.400,6.310 MHz,1.852E-10
0.000,0.400,7.943 MHz,2.331E-10
0.000,0.400,10.00 MHz,2.935E-10
0.000,0.400,12.59 MHz,3.695E-10
0.000,0.400,15.85 MHz,4.652E-10
0.000,0.400,19.95 MHz,5.856E-10
0.000,0.400,25.12 MHz,7.372E-10
0.000,0.400,31.62 MHz,9.281E-10
0.000,0.400,39.81 MHz,1.168E-9
0.000,0.400,50.12 MHz,1.471E-9
0.000,0.400,63.10 MHz,1.852E-9
0.000,0.400,79.43 MHz,2.331E-9
0.000,0.400,100.0 MHz,2.935E-9
0.000,0.400,125.9 MHz,3.695E-9
0.000,0.400,158.5 MHz,4.652E-9
0.000,0.400,199.5 MHz,5.856E-9
0.000,0.400,251.2 MHz,7.372E-9
0.000,0.400,316.2 MHz,9.281E-9
0.000,0.400,398.1 MHz,1.168E-8
0.000,0.400,501.2 MHz,1.471E-8
0.000,0.400,631.0 MHz,1.852E-8
