freq, nonideal i, ideal i
75.0999999999999943157 MHz,0.00000139394303243718 + j0.00236130688108757321 ,0.00000000000000000000 + j0.00235933608284593461 
76.0999999999999943157 MHz,0.00000143137662285137 + j0.00239280263343353075 ,0.00000000000000000000 + j0.00239075200938183244 
77.0999999999999943157 MHz,0.00000146930878597423 + j0.00242430051458737434 ,0.00000000000000000000 + j0.00242216793591773028 
78.0999999999999943157 MHz,0.00000150773965696290 + j0.00245580055268597658 ,0.00000000000000000000 + j0.00245358386245362855 
79.0999999999999943157 MHz,0.00000154666937276243 + j0.00248730277587260774 ,0.00000000000000000000 + j0.00248499978898952638 
80.0999999999999943157 MHz,0.00000158609807210665 + j0.00251880721229702639 ,0.00000000000000000000 + j0.00251641571552542421 
81.0999999999999943157 MHz,0.00000162602589551914 + j0.00255031389011556005 ,0.00000000000000000000 + j0.00254783164206132205 
82.0999999999999943157 MHz,0.00000166645298531415 + j0.00258182283749118979 ,0.00000000000000000000 + j0.00257924756859721988 
83.0999999999999943157 MHz,0.00000170737948559756 + j0.00261333408259363823 ,0.00000000000000000000 + j0.00261066349513311771 
84.0999999999999943157 MHz,0.00000174880554226783 + j0.00264484765359944635 ,0.00000000000000000000 + j0.00264207942166901555 
85.0999999999999943157 MHz,0.00000179073130301700 + j0.00267636357869206407 ,0.00000000000000000000 + j0.00267349534820491381 
86.0999999999999943157 MHz,0.00000183315691733165 + j0.00270788188606193008 ,0.00000000000000000000 + j0.00270491127474081121 
87.0999999999999943157 MHz,0.00000187608253649394 + j0.00273940260390656424 ,0.00000000000000000000 + j0.00273632720127670991 
88.0999999999999943157 MHz,0.00000191950831358257 + j0.00277092576043063863 ,0.00000000000000000000 + j0.00276774312781260775 
89.0999999999999943157 MHz,0.00000196343440347386 + j0.00280245138384607522 ,0.00000000000000000000 + j0.00279915905434850558 
90.0999999999999943157 MHz,0.00000200786096284275 + j0.00283397950237212256 ,0.00000000000000000000 + j0.00283057498088440341 
91.0999999999999943157 MHz,0.00000205278815016386 + j0.00286551014423544383 ,0.00000000000000000000 + j0.00286199090742030125 
92.0999999999999943157 MHz,0.00000209821612571255 + j0.00289704333767019885 ,0.00000000000000000000 + j0.00289340683395619908 
93.0999999999999943157 MHz,0.00000214414505156601 + j0.00292857911091813118 ,0.00000000000000000000 + j0.00292482276049209691 
94.0999999999999943157 MHz,0.00000219057509160432 + j0.00296011749222865233 ,0.00000000000000000000 + j0.00295623868702799561 
95.0999999999999943157 MHz,0.00000223750641151156 + j0.00299165850985892191 ,0.00000000000000000000 + j0.00298765461356389345 
96.0999999999999943157 MHz,0.00000228493917877693 + j0.00302320219207394183 ,0.00000000000000000000 + j0.00301907054009979128 
97.0999999999999943157 MHz,0.00000233287356269586 + j0.00305474856714663080 ,0.00000000000000000000 + j0.00305048646663568911 
98.0999999999999943157 MHz,0.00000238130973437115 + j0.00308629766335791851 ,0.00000000000000000000 + j0.00308190239317158695 
99.0999999999999943157 MHz,0.00000243024786671410 + j0.00311784950899682192 ,0.00000000000000000000 + j0.00311331831970748478 
100.099999999999994316 MHz,0.00000247968813444572 + j0.00314940413236053807 ,0.00000000000000000000 + j0.00314473424624338261 
101.099999999999994316 MHz,0.00000252963071409783 + j0.00318096156175452349 ,0.00000000000000000000 + j0.00317615017277928045 
102.099999999999994316 MHz,0.00000258007578401431 + j0.00321252182549258214 ,0.00000000000000000000 + j0.00320756609931517871 
103.099999999999994316 MHz,0.00000263102352435225 + j0.00324408495189694966 ,0.00000000000000000000 + j0.00323898202585107655 
104.099999999999994316 MHz,0.00000268247411708320 + j0.00327565096929837698 ,0.00000000000000000000 + j0.00327039795238697438 
105.099999999999994316 MHz,0.00000273442774599433 + j0.00330721990603621840 ,0.00000000000000000000 + j0.00330181387892287221 
106.099999999999994316 MHz,0.00000278688459668974 + j0.00333879179045851746 ,0.00000000000000000000 + j0.00333322980545877005 
107.099999999999994316 MHz,0.00000283984485659164 + j0.00337036665092208757 ,0.00000000000000000000 + j0.00336464573199466788 
