freq, nonideal i, ideal i
3.91109999999999979892 GHz,0.00235876450770661737 - j0.09710558305691621706 ,0.00000000000000000000 + j0.12287083027455039663 
3.91210000000000013287 GHz,0.00235565582969216253 - j0.09704161068521424682 ,0.00000000000000000000 + j0.12290224620108627929 
3.91310000000000002274 GHz,0.00235255377710742513 - j0.09697773249130708928 ,0.00000000000000000000 + j0.12293366212762218970 
3.91409999999999991260 GHz,0.00234945833055246389 - j0.09691394826217150649 ,0.00000000000000000000 + j0.12296507805415808623 
3.91509999999999980247 GHz,0.00234636947069927779 - j0.09685025778542916131 ,0.00000000000000000000 + j0.12299649398069398276 
3.91610000000000013642 GHz,0.00234328717829149213 - j0.09678666084934445246 ,0.00000000000000000000 + j0.12302790990722987929 
3.91710000000000002629 GHz,0.00234021143414402935 - j0.09672315724282173899 ,0.00000000000000000000 + j0.12305932583376578970 
3.91809999999999991616 GHz,0.00233714221914281192 - j0.09665974675540353611 ,0.00000000000000000000 + j0.12309074176030167236 
3.91909999999999980602 GHz,0.00233407951424441070 - j0.09659642917726736500 ,0.00000000000000000000 + j0.12312215768683756889 
3.92010000000000013998 GHz,0.00233102330047576210 - j0.09653320429922382373 ,0.00000000000000000000 + j0.12315357361337347930 
3.92110000000000002984 GHz,0.00232797355893383422 - j0.09647007191271415871 ,0.00000000000000000000 + j0.12318498953990937583 
3.92209999999999991971 GHz,0.00232493027078532408 - j0.09640703180980775278 ,0.00000000000000000000 + j0.12321640546644527237 
3.92309999999999980957 GHz,0.00232189341726633932 - j0.09634408378319973820 ,0.00000000000000000000 + j0.12324782139298115502 
3.92410000000000014353 GHz,0.00231886297968209856 - j0.09628122762620892894 ,0.00000000000000000000 + j0.12327923731951706543 
3.92510000000000003340 GHz,0.00231583893940661605 - j0.09621846313277505891 ,0.00000000000000000000 + j0.12331065324605296196 
3.92609999999999992326 GHz,0.00231282127788239944 - j0.09615579009745681138 ,0.00000000000000000000 + j0.12334206917258885849 
3.92709999999999981313 GHz,0.00230980997662014534 - j0.09609320831542929320 ,0.00000000000000000000 + j0.12337348509912476890 
3.92810000000000014708 GHz,0.00230680501719843743 - j0.09603071758248178658 ,0.00000000000000000000 + j0.12340490102566066544 
3.92910000000000003695 GHz,0.00230380638126344165 - j0.09596831769501545928 ,0.00000000000000000000 + j0.12343631695219654809 
3.93009999999999992681 GHz,0.00230081405052861166 - j0.09590600845004100539 ,0.00000000000000000000 + j0.12346773287873244462 
3.93109999999999981668 GHz,0.00229782800677438620 - j0.09584378964517643873 ,0.00000000000000000000 + j0.12349914880526835503 
3.93210000000000015064 GHz,0.00229484823184790149 - j0.09578166107864485856 ,0.00000000000000000000 + j0.12353056473180425157 
3.93310000000000004050 GHz,0.00229187470766267949 - j0.09571962254927196545 ,0.00000000000000000000 + j0.12356198065834014810 
3.93409999999999993037 GHz,0.00228890741619835374 - j0.09565767385648413224 ,0.00000000000000000000 + j0.12359339658487605851 
3.93509999999999982023 GHz,0.00228594633950036713 - j0.09559581480030596157 ,0.00000000000000000000 + j0.12362481251141194116 
3.93610000000000015419 GHz,0.00228299145967968001 - j0.09553404518135798218 ,0.00000000000000000000 + j0.12365622843794783769 
3.93710000000000004405 GHz,0.00228004275891248963 - j0.09547236480085474764 ,0.00000000000000000000 + j0.12368764436448373423 
3.93809999999999993392 GHz,0.00227710021943992912 - j0.09541077346060215791 ,0.00000000000000000000 + j0.12371906029101964464 
3.93909999999999982379 GHz,0.00227416382356780689 - j0.09534927096299584959 ,0.00000000000000000000 + j0.12375047621755554117 
3.94010000000000015774 GHz,0.00227123355366628610 - j0.09528785711101830924 ,0.00000000000000000000 + j0.12378189214409142382 
3.94110000000000004761 GHz,0.00226830939216963665 - j0.09522653170823738855 ,0.00000000000000000000 + j0.12381330807062732036 
3.94209999999999993747 GHz,0.00226539132157592936 - j0.09516529455880355648 ,0.00000000000000000000 + j0.12384472399716323077 
3.94309999999999982734 GHz,0.00226247932444677150 - j0.09510414546744815067 ,0.00000000000000000000 + j0.12387613992369912730 
3.94410000000000016129 GHz,0.00225957338340701964 - j0.09504308423948097662 ,0.00000000000000000000 + j0.12390755585023500995 
3.94510000000000005116 GHz,0.00225667348114449995 - j0.09498211068078818431 ,0.00000000000000000000 + j0.12393897177677093424 
3.94609999999999994102 GHz,0.00225377960040974842 - j0.09492122459783045030 ,0.00000000000000000000 + j0.12397038770330681690 
3.94709999999999983089 GHz,0.00225089172401571336 - j0.09486042579764022986 ,0.00000000000000000000 + j0.12400180362984271343 
3.94810000000000016485 GHz,0.00224800983483750211 - j0.09479971408782034148 ,0.00000000000000000000 + j0.12403321955637860996 
3.94910000000000005471 GHz,0.00224513391581210005 - j0.09473908927654133005 ,0.00000000000000000000 + j0.12406463548291452037 
3.95009999999999994458 GHz,0.00224226394993810125 - j0.09467855117253966279 ,0.00000000000000000000 + j0.12409605140945040302 
3.95109999999999983444 GHz,0.00223939992027544785 - j0.09461809958511564755 ,0.00000000000000000000 + j0.12412746733598629956 
3.95210000000000016840 GHz,0.00223654180994514382 - j0.09455773432413100421 ,0.00000000000000000000 + j0.12415888326252220997 
3.95310000000000005826 GHz,0.00223368960212901296 - j0.09449745520000733812 ,0.00000000000000000000 + j0.12419029918905810650 
3.95409999999999994813 GHz,0.00223084328006941442 - j0.09443726202372360046 ,0.00000000000000000000 + j0.12422171511559400303 
3.95509999999999983800 GHz,0.00222800282706899161 - j0.09437715460681435353 ,0.00000000000000000000 + j0.12425313104212988569 
3.95610000000000017195 GHz,0.00222516822649040068 - j0.09431713276136748092 ,0.00000000000000000000 + j0.12428454696866579610 
3.95710000000000006182 GHz,0.00222233946175606377 - j0.09425719630002249438 ,0.00000000000000000000 + j0.12431596289520169263 
3.95809999999999995168 GHz,0.00221951651634789537 - j0.09419734503596817465 ,0.00000000000000000000 + j0.12434737882173758916 
3.95909999999999984155 GHz,0.00221669937380704904 - j0.09413757878294065629 ,0.00000000000000000000 + j0.12437879474827349957 
3.96010000000000017550 GHz,0.00221388801773366676 - j0.09407789735522155417 ,0.00000000000000000000 + j0.12441021067480939610 
3.96110000000000006537 GHz,0.00221108243178661521 - j0.09401830056763579857 ,0.00000000000000000000 + j0.12444162660134527876 
3.96209999999999995524 GHz,0.00220828259968323774 - j0.09395878823554977555 ,0.00000000000000000000 + j0.12447304252788117529 
3.96309999999999984510 GHz,0.00220548850519909113 - j0.09389936017486913422 ,0.00000000000000000000 + j0.12450445845441708570 
3.96410000000000017906 GHz,0.00220270013216771702 - j0.09384001620203726024 ,0.00000000000000000000 + j0.12453587438095298223 
3.96510000000000006892 GHz,0.00219991746448036304 - j0.09378075613403277777 ,0.00000000000000000000 + j0.12456729030748887876 
3.96609999999999995879 GHz,0.00219714048608575302 - j0.09372157978836792580 ,0.00000000000000000000 + j0.12459870623402478917 
3.96709999999999984865 GHz,0.00219436918098983580 - j0.09366248698308658749 ,0.00000000000000000000 + j0.12463012216056067183 
3.96810000000000018261 GHz,0.00219160353325553161 - j0.09360347753676222238 ,0.00000000000000000000 + j0.12466153808709656836 
3.96910000000000007248 GHz,0.00218884352700249264 - j0.09354455126849596514 ,0.00000000000000000000 + j0.12469295401363246489 
3.97009999999999996234 GHz,0.00218608914640686536 - j0.09348570799791497410 ,0.00000000000000000000 + j0.12472436994016837530 
3.97109999999999985221 GHz,0.00218334037570103254 - j0.09342694754517009981 ,0.00000000000000000000 + j0.12475578586670427184 
3.97210000000000018616 GHz,0.00218059719917338595 - j0.09336826973093428905 ,0.00000000000000000000 + j0.12478720179324015449 
3.97310000000000007603 GHz,0.00217785960116807483 - j0.09330967437640053097 ,0.00000000000000000000 + j0.12481861771977606490 
3.97409999999999996589 GHz,0.00217512756608477693 - j0.09325116130328012232 ,0.00000000000000000000 + j0.12485003364631196143 
3.97509999999999985576 GHz,0.00217240107837845392 - j0.09319273033380058580 ,0.00000000000000000000 + j0.12488144957284785797 
3.97610000000000018971 GHz,0.00216968012255911455 - j0.09313438129070397697 ,0.00000000000000000000 + j0.12491286549938374062 
3.97710000000000007958 GHz,0.00216696468319158139 - j0.09307611399724488588 ,0.00000000000000000000 + j0.12494428142591966491 
3.97809999999999996945 GHz,0.00216425474489526396 - j0.09301792827718886880 ,0.00000000000000000000 + j0.12497569735245554756 
3.97909999999999985931 GHz,0.00216155029234390726 - j0.09295982395481015848 ,0.00000000000000000000 + j0.12500711327899144409 
3.98010000000000019327 GHz,0.00215885131026537311 - j0.09290180085489008199 ,0.00000000000000000000 + j0.12503852920552735450 
3.98110000000000008313 GHz,0.00215615778344141126 - j0.09284385880271538161 ,0.00000000000000000000 + j0.12506994513206323716 
3.98209999999999997300 GHz,0.00215346969670742209 - j0.09278599762407607754 ,0.00000000000000000000 + j0.12510136105859914757 
3.98309999999999986287 GHz,0.00215078703495223027 - j0.09272821714526383041 ,0.00000000000000000000 + j0.12513277698513503022 
3.98410000000000019682 GHz,0.00214810978311785359 - j0.09267051719307002611 ,0.00000000000000000000 + j0.12516419291167094063 
3.98510000000000008669 GHz,0.00214543792619929351 - j0.09261289759478427697 ,0.00000000000000000000 + j0.12519560883820682329 
3.98609999999999997655 GHz,0.00214277144924428535 - j0.09255535817819215971 ,0.00000000000000000000 + j0.12522702476474273370 
3.98709999999999986642 GHz,0.00214011033735309183 - j0.09249789877157384155 ,0.00000000000000000000 + j0.12525844069127864411 
3.98810000000000020037 GHz,0.00213745457567827675 - j0.09244051920370210951 ,0.00000000000000000000 + j0.12528985661781452676 
3.98910000000000009024 GHz,0.00213480414942447769 - j0.09238321930384060798 ,0.00000000000000000000 + j0.12532127254435043717 
3.99009999999999998010 GHz,0.00213215904384818876 - j0.09232599890174213175 ,0.00000000000000000000 + j0.12535268847088631983 
3.99109999999999986997 GHz,0.00212951924425754504 - j0.09226885782764690513 ,0.00000000000000000000 + j0.12538410439742223024 
3.99210000000000020393 GHz,0.00212688473601209665 - j0.09221179591228068073 ,0.00000000000000000000 + j0.12541552032395811289 
3.99310000000000009379 GHz,0.00212425550452259452 - j0.09215481298685318512 ,0.00000000000000000000 + j0.12544693625049402330 
3.99409999999999998366 GHz,0.00212163153525077829 - j0.09209790888305631473 ,0.00000000000000000000 + j0.12547835217702993371 
3.99509999999999987352 GHz,0.00211901281370915689 - j0.09204108343306244278 ,0.00000000000000000000 + j0.12550976810356581637 
3.99610000000000020748 GHz,0.00211639932546078997 - j0.09198433646952262899 ,0.00000000000000000000 + j0.12554118403010169902 
3.99710000000000009734 GHz,0.00211379105611908058 - j0.09192766782556487104 ,0.00000000000000000000 + j0.12557259995663760943 
3.99809999999999998721 GHz,0.00211118799134756268 - j0.09187107733479259186 ,0.00000000000000000000 + j0.12560401588317351984 
3.99909999999999987708 GHz,0.00210859011685969383 - j0.09181456483128293267 ,0.00000000000000000000 + j0.12563543180970940250 
4.00009999999999976694 GHz,0.00210599741841863489 - j0.09175813014958486558 ,0.00000000000000000000 + j0.12566684773624531291 
4.00110000000000010090 GHz,0.00210340988183704359 - j0.09170177312471752828 ,0.00000000000000000000 + j0.12569826366278122332 
4.00210000000000043485 GHz,0.00210082749297687936 - j0.09164549359216890567 ,0.00000000000000000000 + j0.12572967958931710597 
4.00309999999999988063 GHz,0.00209825023774918304 - j0.09158929138789380364 ,0.00000000000000000000 + j0.12576109551585298862 
4.00410000000000021458 GHz,0.00209567810211386870 - j0.09153316634831221155 ,0.00000000000000000000 + j0.12579251144238889903 
4.00509999999999966036 GHz,0.00209311107207952934 - j0.09147711831030781726 ,0.00000000000000000000 + j0.12582392736892480944 
4.00609999999999999432 GHz,0.00209054913370323048 - j0.09142114711122638349 ,0.00000000000000000000 + j0.12585534329546069210 
4.00710000000000032827 GHz,0.00208799227309030286 - j0.09136525258887387424 ,0.00000000000000000000 + j0.12588675922199657475 
4.00809999999999977405 GHz,0.00208544047639414205 - j0.09130943458151509484 ,0.00000000000000000000 + j0.12591817514853248516 
4.00910000000000010800 GHz,0.00208289372981600683 - j0.09125369292787181841 ,0.00000000000000000000 + j0.12594959107506839557 
4.01010000000000044196 GHz,0.00208035201960482703 - j0.09119802746712142583 ,0.00000000000000000000 + j0.12598100700160427823 
4.01109999999999988773 GHz,0.00207781533205698889 - j0.09114243803889506002 ,0.00000000000000000000 + j0.12601242292814018864 
4.01210000000000022169 GHz,0.00207528365351615420 - j0.09108692448327622426 ,0.00000000000000000000 + j0.12604383885467609905 
4.01309999999999966747 GHz,0.00207275697037305343 - j0.09103148664079907526 ,0.00000000000000000000 + j0.12607525478121198170 
4.01410000000000000142 GHz,0.00207023526906529058 - j0.09097612435244689655 ,0.00000000000000000000 + j0.12610667070774786436 
4.01510000000000033538 GHz,0.00206771853607714672 - j0.09092083745965030828 ,0.00000000000000000000 + j0.12613808663428377477 
4.01609999999999978115 GHz,0.00206520675793939656 - j0.09086562580428611535 ,0.00000000000000000000 + j0.12616950256081968518 
4.01710000000000011511 GHz,0.00206269992122909938 - j0.09081048922867533679 ,0.00000000000000000000 + j0.12620091848735556783 
4.01809999999999956088 GHz,0.00206019801256941562 - j0.09075542757558176243 ,0.00000000000000000000 + j0.12623233441389145049 
4.01909999999999989484 GHz,0.00205770101862941604 - j0.09070044068821052352 ,0.00000000000000000000 + j0.12626375034042736090 
4.02010000000000022879 GHz,0.00205520892612389089 - j0.09064552841020644125 ,0.00000000000000000000 + j0.12629516626696327131 
4.02109999999999967457 GHz,0.00205272172181315566 - j0.09059069058565245858 ,0.00000000000000000000 + j0.12632658219349915396 
4.02210000000000000853 GHz,0.00205023939250286932 - j0.09053592705906812754 ,0.00000000000000000000 + j0.12635799812003506437 
4.02310000000000034248 GHz,0.00204776192504384094 - j0.09048123767540817985 ,0.00000000000000000000 + j0.12638941404657097478 
4.02409999999999978826 GHz,0.00204528930633184622 - j0.09042662228006080605 ,0.00000000000000000000 + j0.12642082997310685744 
4.02510000000000012221 GHz,0.00204282152330744447 - j0.09037208071884640648 ,0.00000000000000000000 + j0.12645224589964274009 
4.02609999999999956799 GHz,0.00204035856295578305 - j0.09031761283801574558 ,0.00000000000000000000 + j0.12648366182617865050 
4.02709999999999990195 GHz,0.00203790041230642689 - j0.09026321848424877226 ,0.00000000000000000000 + j0.12651507775271456091 
4.02810000000000023590 GHz,0.00203544705843316555 - j0.09020889750465294066 ,0.00000000000000000000 + j0.12654649367925044356 
4.02909999999999968168 GHz,0.00203299848845383321 - j0.09015464974676169752 ,0.00000000000000000000 + j0.12657790960578635397 
4.03010000000000001563 GHz,0.00203055468953013433 - j0.09010047505853320537 ,0.00000000000000000000 + j0.12660932553232223663 
4.03110000000000034959 GHz,0.00202811564886744766 - j0.09004637328834853849 ,0.00000000000000000000 + j0.12664074145885814704 
4.03209999999999979536 GHz,0.00202568135371466659 - j0.08999234428501060035 ,0.00000000000000000000 + j0.12667215738539402969 
4.03310000000000012932 GHz,0.00202325179136399929 - j0.08993838789774219467 ,0.00000000000000000000 + j0.12670357331192994010 
4.03409999999999957510 GHz,0.00202082694915081077 - j0.08988450397618508170 ,0.00000000000000000000 + j0.12673498923846582276 
4.03509999999999990905 GHz,0.00201840681445343431 - j0.08983069237039814636 ,0.00000000000000000000 + j0.12676640516500173317 
4.03610000000000024301 GHz,0.00201599137469299057 - j0.08977695293085596884 ,0.00000000000000000000 + j0.12679782109153764358 
4.03709999999999968878 GHz,0.00201358061733322886 - j0.08972328550844768658 ,0.00000000000000000000 + j0.12682923701807352623 
4.03810000000000002274 GHz,0.00201117452988033634 - j0.08966968995447517632 ,0.00000000000000000000 + j0.12686065294460943664 
4.03910000000000035669 GHz,0.00200877309988277365 - j0.08961616612065192999 ,0.00000000000000000000 + j0.12689206887114531930 
4.04009999999999980247 GHz,0.00200637631493109448 - j0.08956271385910133387 ,0.00000000000000000000 + j0.12692348479768122971 
4.04110000000000013642 GHz,0.00200398416265778903 - j0.08950933302235568323 ,0.00000000000000000000 + j0.12695490072421711236 
4.04209999999999958220 GHz,0.00200159663073709105 - j0.08945602346335425337 ,0.00000000000000000000 + j0.12698631665075302277 
4.04309999999999991616 GHz,0.00199921370688482423 - j0.08940278503544228650 ,0.00000000000000000000 + j0.12701773257728893318 
4.04410000000000025011 GHz,0.00199683537885822623 - j0.08934961759236939582 ,0.00000000000000000000 + j0.12704914850382481584 
4.04509999999999969589 GHz,0.00199446163445578034 - j0.08929652098828824713 ,0.00000000000000000000 + j0.12708056443036069849 
4.04610000000000002984 GHz,0.00199209246151704506 - j0.08924349507775312940 ,0.00000000000000000000 + j0.12711198035689660890 
4.04710000000000036380 GHz,0.00198972784792249367 - j0.08919053971571859474 ,0.00000000000000000000 + j0.12714339628343251931 
4.04809999999999980957 GHz,0.00198736778159334633 - j0.08913765475753819556 ,0.00000000000000000000 + j0.12717481220996840197 
4.04910000000000014353 GHz,0.00198501225049139496 - j0.08908484005896277758 ,0.00000000000000000000 + j0.12720622813650431238 
4.05009999999999958931 GHz,0.00198266124261884833 - j0.08903209547613945285 ,0.00000000000000000000 + j0.12723764406304022279 
4.05109999999999992326 GHz,0.00198031474601817036 - j0.08897942086561017039 ,0.00000000000000000000 + j0.12726905998957610544 
4.05210000000000025722 GHz,0.00197797274877190574 - j0.08892681608431024509 ,0.00000000000000000000 + j0.12730047591611198810 
4.05309999999999970299 GHz,0.00197563523900252383 - j0.08887428098956698386 ,0.00000000000000000000 + j0.12733189184264789851 
4.05410000000000003695 GHz,0.00197330220487226208 - j0.08882181543909858923 ,0.00000000000000000000 + j0.12736330776918380892 
4.05510000000000037090 GHz,0.00197097363458295823 - j0.08876941929101266060 ,0.00000000000000000000 + j0.12739472369571969157 
4.05609999999999981668 GHz,0.00196864951637588676 - j0.08871709240380469541 ,0.00000000000000000000 + j0.12742613962225557422 
4.05710000000000015064 GHz,0.00196632983853161107 - j0.08866483463635707607 ,0.00000000000000000000 + j0.12745755554879148463 
4.05809999999999959641 GHz,0.00196401458936981558 - j0.08861264584793754340 ,0.00000000000000000000 + j0.12748897147532739504 
4.05909999999999993037 GHz,0.00196170375724915398 - j0.08856052589819805865 ,0.00000000000000000000 + j0.12752038740186327770 
4.06010000000000026432 GHz,0.00195939733056708096 - j0.08850847464717313817 ,0.00000000000000000000 + j0.12755180332839916035 
4.06109999999999971010 GHz,0.00195709529775970909 - j0.08845649195527890973 ,0.00000000000000000000 + j0.12758321925493509852 
4.06210000000000004405 GHz,0.00195479764730165225 - j0.08840457768331182187 ,0.00000000000000000000 + j0.12761463518147098117 
4.06310000000000037801 GHz,0.00195250436770585977 - j0.08835273169244699243 ,0.00000000000000000000 + j0.12764605110800686383 
4.06409999999999982379 GHz,0.00195021544752346809 - j0.08830095384423723714 ,0.00000000000000000000 + j0.12767746703454277424 
4.06510000000000015774 GHz,0.00194793087534365439 - j0.08824924400061169572 ,0.00000000000000000000 + j0.12770888296107868465 
4.06609999999999960352 GHz,0.00194565063979347335 - j0.08819760202387456893 ,0.00000000000000000000 + j0.12774029888761456730 
4.06709999999999993747 GHz,0.00194337472953770682 - j0.08814602777670370315 ,0.00000000000000000000 + j0.12777171481415044996 
4.06810000000000027143 GHz,0.00194110313327871794 - j0.08809452112214952169 ,0.00000000000000000000 + j0.12780313074068636037 
4.06909999999999971720 GHz,0.00193883583975630060 - j0.08804308192363370644 ,0.00000000000000000000 + j0.12783454666722227078 
4.07010000000000005116 GHz,0.00193657283774752382 - j0.08799171004494794890 ,0.00000000000000000000 + j0.12786596259375815343 
4.07110000000000038511 GHz,0.00193431411606658030 - j0.08794040535025243743 ,0.00000000000000000000 + j0.12789737852029406384 
4.07209999999999983089 GHz,0.00193205966356465100 - j0.08788916770407508017 ,0.00000000000000000000 + j0.12792879444682994650 
4.07310000000000016485 GHz,0.00192980946912974698 - j0.08783799697130988127 ,0.00000000000000000000 + j0.12796021037336585691 
4.07409999999999961062 GHz,0.00192756352168656176 - j0.08778689301721590010 ,0.00000000000000000000 + j0.12799162629990173956 
4.07509999999999994458 GHz,0.00192532181019632672 - j0.08773585570741583572 ,0.00000000000000000000 + j0.12802304222643764997 
4.07610000000000027853 GHz,0.00192308432365667506 - j0.08768488490789506928 ,0.00000000000000000000 + j0.12805445815297356038 
4.07709999999999972431 GHz,0.00192085105110147733 - j0.08763398048500017912 ,0.00000000000000000000 + j0.12808587407950944304 
4.07810000000000005826 GHz,0.00191862198160071837 - j0.08758314230543792767 ,0.00000000000000000000 + j0.12811729000604535345 
4.07910000000000039222 GHz,0.00191639710426033281 - j0.08753237023627383206 ,0.00000000000000000000 + j0.12814870593258123610 
4.08009999999999983800 GHz,0.00191417640822208143 - j0.08748166414493113718 ,0.00000000000000000000 + j0.12818012185911714651 
4.08110000000000017195 GHz,0.00191195988266339330 - j0.08743102389918958051 ,0.00000000000000000000 + j0.12821153778565302916 
4.08209999999999961773 GHz,0.00190974751679723288 - j0.08738044936718405986 ,0.00000000000000000000 + j0.12824295371218893957 
4.08309999999999995168 GHz,0.00190753929987195971 - j0.08732994041740371749 ,0.00000000000000000000 + j0.12827436963872482223 
4.08410000000000028564 GHz,0.00190533522117117943 - j0.08727949691869039961 ,0.00000000000000000000 + j0.12830578556526073264 
4.08509999999999973141 GHz,0.00190313527001361197 - j0.08722911874023762946 ,0.00000000000000000000 + j0.12833720149179664305 
4.08610000000000006537 GHz,0.00190093943575295383 - j0.08717880575158973300 ,0.00000000000000000000 + j0.12836861741833252570 
4.08710000000000039933 GHz,0.00189874770777772890 - j0.08712855782264000704 ,0.00000000000000000000 + j0.12840003334486843611 
4.08809999999999984510 GHz,0.00189656007551116572 - j0.08707837482363024739 ,0.00000000000000000000 + j0.12843144927140431877 
4.08910000000000017906 GHz,0.00189437652841104335 - j0.08702825662514891703 ,0.00000000000000000000 + j0.12846286519794022918 
4.09009999999999962483 GHz,0.00189219705596957314 - j0.08697820309813070194 ,0.00000000000000000000 + j0.12849428112447611183 
4.09109999999999995879 GHz,0.00189002164771324608 - j0.08692821411385465158 ,0.00000000000000000000 + j0.12852569705101202224 
4.09210000000000029274 GHz,0.00188785029320270989 - j0.08687828954394356817 ,0.00000000000000000000 + j0.12855711297754793265 
4.09309999999999973852 GHz,0.00188568298203262890 - j0.08682842926036257736 ,0.00000000000000000000 + j0.12858852890408381531 
4.09410000000000007248 GHz,0.00188351970383154768 - j0.08677863313541800405 ,0.00000000000000000000 + j0.12861994483061969796 
4.09510000000000040643 GHz,0.00188136044826176354 - j0.08672890104175637327 ,0.00000000000000000000 + j0.12865136075715560837 
4.09609999999999985221 GHz,0.00187920520501918794 - j0.08667923285236307784 ,0.00000000000000000000 + j0.12868277668369151878 
4.09710000000000018616 GHz,0.00187705396383322271 - j0.08662962844056153189 ,0.00000000000000000000 + j0.12871419261022740144 
4.09809999999999963194 GHz,0.00187490671446661648 - j0.08658008768001171362 ,0.00000000000000000000 + j0.12874560853676328409 
4.09909999999999996589 GHz,0.00187276344671534630 - j0.08653061044470929108 ,0.00000000000000000000 + j0.12877702446329922226 
4.10010000000000029985 GHz,0.00187062415040847754 - j0.08648119660898442862 ,0.00000000000000000000 + j0.12880844038983510491 
4.10109999999999974563 GHz,0.00186848881540804031 - j0.08643184604750067668 ,0.00000000000000000000 + j0.12883985631637098757 
4.10210000000000007958 GHz,0.00186635743160889394 - j0.08638255863525376443 ,0.00000000000000000000 + j0.12887127224290689798 
4.10310000000000041354 GHz,0.00186422998893860463 - j0.08633333424757066998 ,0.00000000000000000000 + j0.12890268816944280839 
4.10409999999999985931 GHz,0.00186210647735732021 - j0.08628417276010856563 ,0.00000000000000000000 + j0.12893410409597869104 
4.10510000000000019327 GHz,0.00185998688685762976 - j0.08623507404885344396 ,0.00000000000000000000 + j0.12896552002251457369 
4.10609999999999963904 GHz,0.00185787120746444675 - j0.08618603799011914646 ,0.00000000000000000000 + j0.12899693594905048410 
4.10709999999999997300 GHz,0.00185575942923488831 - j0.08613706446054660015 ,0.00000000000000000000 + j0.12902835187558639451 
4.10810000000000030695 GHz,0.00185365154225813162 - j0.08608815333710213846 ,0.00000000000000000000 + j0.12905976780212227717 
4.10909999999999975273 GHz,0.00185154753665530661 - j0.08603930449707698769 ,0.00000000000000000000 + j0.12909118372865815982 
4.11010000000000008669 GHz,0.00184944740257935911 - j0.08599051781808578210 ,0.00000000000000000000 + j0.12912259965519407023 
4.11110000000000042064 GHz,0.00184735113021493921 - j0.08594179317806587004 ,0.00000000000000000000 + j0.12915401558172998064 
4.11209999999999986642 GHz,0.00184525870977826547 - j0.08589313045527594004 ,0.00000000000000000000 + j0.12918543150826586330 
4.11310000000000020037 GHz,0.00184317013151700680 - j0.08584452952829497996 ,0.00000000000000000000 + j0.12921684743480177371 
4.11409999999999964615 GHz,0.00184108538571016293 - j0.08579599027602151373 ,0.00000000000000000000 + j0.12924826336133768412 
4.11509999999999998010 GHz,0.00183900446266794387 - j0.08574751257767226909 ,0.00000000000000000000 + j0.12927967928787356677 
4.11610000000000031406 GHz,0.00183692735273163939 - j0.08569909631278117834 ,0.00000000000000000000 + j0.12931109521440944943 
4.11709999999999975984 GHz,0.00183485404627350729 - j0.08565074136119839310 ,0.00000000000000000000 + j0.12934251114094535984 
4.11810000000000009379 GHz,0.00183278453369665226 - j0.08560244760308932666 ,0.00000000000000000000 + j0.12937392706748127025 
4.11910000000000042775 GHz,0.00183071880543490156 - j0.08555421491893332175 ,0.00000000000000000000 + j0.12940534299401715290 
4.12009999999999987352 GHz,0.00182865685195269427 - j0.08550604318952306770 ,0.00000000000000000000 + j0.12943675892055306331 
4.12110000000000020748 GHz,0.00182659866374495355 - j0.08545793229596314322 ,0.00000000000000000000 + j0.12946817484708894597 
4.12209999999999965326 GHz,0.00182454423133697496 - j0.08540988211966923926 ,0.00000000000000000000 + j0.12949959077362485638 
4.12309999999999998721 GHz,0.00182249354528430762 - j0.08536189254236710433 ,0.00000000000000000000 + j0.12953100670016073903 
4.12410000000000032117 GHz,0.00182044659617263543 - j0.08531396344609144811 ,0.00000000000000000000 + j0.12956242262669664944 
4.12509999999999976694 GHz,0.00181840337461766665 - j0.08526609471318505329 ,0.00000000000000000000 + j0.12959383855323255985 
4.12610000000000010090 GHz,0.00181636387126500967 - j0.08521828622629770700 ,0.00000000000000000000 + j0.12962525447976844251 
4.12710000000000043485 GHz,0.00181432807679006197 - j0.08517053786838509055 ,0.00000000000000000000 + j0.12965667040630435292 
4.12809999999999988063 GHz,0.00181229598189790132 - j0.08512284952270807170 ,0.00000000000000000000 + j0.12968808633284023557 
4.12910000000000021458 GHz,0.00181026757732316037 - j0.08507522107283138624 ,0.00000000000000000000 + j0.12971950225937614598 
4.13009999999999966036 GHz,0.00180824285382992023 - j0.08502765240262283308 ,0.00000000000000000000 + j0.12975091818591202864 
4.13109999999999999432 GHz,0.00180622180221159446 - j0.08498014339625221958 ,0.00000000000000000000 + j0.12978233411244793905 
4.13210000000000032827 GHz,0.00180420441329082150 - j0.08493269393819055657 ,0.00000000000000000000 + j0.12981375003898382170 
4.13309999999999977405 GHz,0.00180219067791934345 - j0.08488530391320862900 ,0.00000000000000000000 + j0.12984516596551973211 
4.13410000000000010800 GHz,0.00180018058697790115 - j0.08483797320637659345 ,0.00000000000000000000 + j0.12987658189205564252 
4.13510000000000044196 GHz,0.00179817413137612508 - j0.08479070170306265974 ,0.00000000000000000000 + j0.12990799781859152517 
4.13609999999999988773 GHz,0.00179617130205241568 - j0.08474348928893209176 ,0.00000000000000000000 + j0.12993941374512743558 
4.13710000000000022169 GHz,0.00179417208997384209 - j0.08469633584994645803 ,0.00000000000000000000 + j0.12997082967166331824 
4.13809999999999966747 GHz,0.00179217648613602676 - j0.08464924127236256313 ,0.00000000000000000000 + j0.13000224559819922865 
4.13910000000000000142 GHz,0.00179018448156304205 - j0.08460220544273144849 ,0.00000000000000000000 + j0.13003366152473511130 
