freq, current
170.009999999999990905 MHz,0.03852723773162820137 - j0.17893419152178410836 
171.009999999999990905 MHz,0.03809765396591292125 - j0.17797980370090929481 
172.009999999999990905 MHz,0.03767510787815986362 - j0.17703501504247254328 
173.009999999999990905 MHz,0.03725944895509065297 - j0.17609969094238814291 
174.009999999999990905 MHz,0.03685053062000403362 - j0.17517369906262117429 
175.009999999999990905 MHz,0.03644821011204342487 - j0.17425690929169818100 
176.009999999999990905 MHz,0.03605234836968727874 - j0.17334919370568893648 
177.009999999999990905 MHz,0.03566280991828546520 - j0.17245042652967185193 
178.009999999999990905 MHz,0.03527946276148685029 - j0.17156048409969854029 
179.009999999999990905 MHz,0.03490217827641219073 - j0.17067924482526691810 
180.009999999999990905 MHz,0.03453083111242743336 - j0.16980658915231458539 
181.009999999999990905 MHz,0.03416529909337539389 - j0.16894239952673764660 
182.009999999999990905 MHz,0.03380546312314036683 - j0.16808656035844155019 
183.009999999999990905 MHz,0.03345120709441966322 - j0.16723895798593299555 
184.009999999999990905 MHz,0.03310241780056804445 - j0.16639948064144866047 
185.009999999999990905 MHz,0.03275898485041613128 - j0.16556801841663207342 
186.009999999999990905 MHz,0.03242080058594544456 - j0.16474446322875344051 
187.009999999999990905 MHz,0.03208776000270398970 - j0.16392870878747503594 
188.009999999999990905 MHz,0.03175976067287339388 - j0.16312065056216443204 
189.009999999999990905 MHz,0.03143670267088284620 - j0.16232018574974901859 
190.009999999999990905 MHz,0.03111848850147452480 - j0.16152721324311478113 
191.009999999999990905 MHz,0.03080502303013533602 - j0.16074163360004456447 
192.009999999999990905 MHz,0.03049621341580091918 - j0.15996334901269335105 
193.009999999999990905 MHz,0.03019196904575709162 - j0.15919226327759464223 
194.009999999999990905 MHz,0.02989220147264873978 - j0.15842828176619835889 
195.009999999999990905 MHz,0.02959682435353092750 - j0.15767131139593096312 
196.009999999999990905 MHz,0.02930575339088005438 - j0.15692126060177666313 
197.009999999999990905 MHz,0.02901890627549492258 - j0.15617803930837018123 
198.009999999999990905 MHz,0.02873620263122905749 - j0.15544155890260075159 
199.009999999999990905 MHz,0.02845756396146921496 - j0.15471173220671571857 
200.009999999999990905 MHz,0.02818291359732596688 - j0.15398847345192315239 
201.009999999999990905 MHz,0.02791217664744826202 - j0.15327169825248312951 
202.009999999999990905 MHz,0.02764527994941876066 - j0.15256132358028190454 
203.009999999999990905 MHz,0.02738215202267560086 - j0.15185726773988464378 
204.009999999999990905 MHz,0.02712272302289848308 - j0.15115945034405783853 
205.009999999999990905 MHz,0.02686692469781473344 - j0.15046779228975340481 
206.009999999999990905 MHz,0.02661469034437404652 - j0.14978221573455163806 
207.009999999999990905 MHz,0.02636595476724181222 - j0.14910264407355142136 
208.009999999999990905 MHz,0.02612065423857098598 - j0.14842900191670360677 
209.009999999999990905 MHz,0.02587872645899899973 - j0.14776121506657877158 
210.009999999999990905 MHz,0.02564011051984178835 - j0.14709921049656451975 
211.009999999999990905 MHz,0.02540474686642780686 - j0.14644291632948119863 
212.009999999999990905 MHz,0.02517257726254478259 - j0.14579226181661281148 
213.009999999999990905 MHz,0.02494354475596299164 - j0.14514717731714527060 
214.009999999999990905 MHz,0.02471759364498061357 - j0.14450759427800155543 
215.009999999999990905 MHz,0.02449466944598152618 - j0.14387344521407152698 
216.009999999999990905 MHz,0.02427471886195498724 - j0.14324466368882618483 
217.009999999999990905 MHz,0.02405768975194865281 - j0.14262118429531100983 
218.009999999999990905 MHz,0.02384353110142448801 - j0.14200294263750931623 
219.009999999999990905 MHz,0.02363219299349092820 - j0.14138987531207183879 
220.009999999999990905 MHz,0.02342362658097673841 - j0.14078191989040308996 
221.009999999999990905 MHz,0.02321778405932066469 - j0.14017901490109982432 
222.009999999999990905 MHz,0.02301461864025006188 - j0.13958109981273247868 
223.009999999999990905 MHz,0.02281408452622876032 - j0.13898811501696631265 
224.009999999999990905 MHz,0.02261613688563488336 - j0.13840000181201211893 
225.009999999999990905 MHz,0.02242073182866026471 - j0.13781670238640386650 
226.009999999999990905 MHz,0.02222782638389618481 - j0.13723815980309286844 
227.009999999999990905 MHz,0.02203737847559571889 - j0.13666431798385669794 
228.009999999999990905 MHz,0.02184934690157425141 - j0.13609512169401258297 
229.009999999999990905 MHz,0.02166369131174132254 - j0.13553051652743200450 
230.009999999999990905 MHz,0.02148037218724407199 - j0.13497044889184967031 
231.009999999999990905 MHz,0.02129935082019052822 - j0.13441486599446014760 
232.009999999999990905 MHz,0.02112058929394348278 - j0.13386371582779835188 
233.009999999999990905 MHz,0.02094405046397103051 - j0.13331694715589667566 
234.009999999999990905 MHz,0.02076969793922189486 - j0.13277450950071234548 
235.009999999999990905 MHz,0.02059749606402455635 - j0.13223635312882328630 
236.009999999999990905 MHz,0.02042740990048573166 - j0.13170242903838172421 
237.009999999999990905 MHz,0.02025940521136933639 - j0.13117268894632608256 
238.009999999999990905 MHz,0.02009344844345040820 - j0.13064708527584001363 
239.009999999999990905 MHz,0.01992950671132375298 - j0.13012557114405842729 
240.009999999999990905 MHz,0.01976754778165361326 - j0.12960810035001407714 
241.009999999999990905 MHz,0.01960754005784659873 - j0.12909462736281659967 
242.009999999999990905 MHz,0.01944945256514896831 - j0.12858510731006420058 
243.009999999999990905 MHz,0.01929325493613549478 - j0.12807949596648066093 
244.009999999999990905 MHz,0.01913891739659692032 - j0.12757774974277200086 
245.009999999999990905 MHz,0.01898641075180036372 - j0.12707982567470088586 
246.009999999999990905 MHz,0.01883570637311470647 - j0.12658568141237216964 
247.009999999999990905 MHz,0.01868677618500077728 - j0.12609527520972624304 
248.009999999999990905 MHz,0.01853959265233232762 - j0.12560856591423602557 
249.009999999999990905 MHz,0.01839412876806673092 - j0.12512551295680202079 
250.009999999999990905 MHz,0.01825035804122737346 - j0.12464607634184375617 
251.009999999999990905 MHz,0.01810825448520944625 - j0.12417021663758072425 
252.009999999999990905 MHz,0.01796779260638677045 - j0.12369789496650142324 
253.009999999999990905 MHz,0.01782894739301981932 - j0.12322907299601471021 
