freq, current
19.8640100000000003888 GHz,0.00000295299539537623 - j0.00155251611332201029 
19.8650100000000016109 GHz,0.00000295269809743426 - j0.00155243293414674506 
19.8660099999999992804 GHz,0.00000295240084472776 - j0.00155234976309239284 
19.8670100000000005025 GHz,0.00000295210363695562 - j0.00155226660015772891 
19.8680100000000017246 GHz,0.00000295180647370425 - j0.00155218344534152706 
19.8690099999999993940 GHz,0.00000295150935532981 - j0.00155210029864255973 
19.8700100000000006162 GHz,0.00000295121228259115 - j0.00155201716005960483 
19.8710099999999982856 GHz,0.00000295091525377199 - j0.00155193402959143394 
19.8720099999999995077 GHz,0.00000295061827008713 - j0.00155185090723682366 
19.8730100000000007299 GHz,0.00000295032133123552 - j0.00155176779299454753 
19.8740099999999983993 GHz,0.00000295002443744309 - j0.00155168468686338258 
19.8750099999999996214 GHz,0.00000294972758813053 - j0.00155160158884210518 
19.8760100000000008436 GHz,0.00000294943078395012 - j0.00155151849892948951 
19.8770099999999985130 GHz,0.00000294913402429294 - j0.00155143541712431240 
19.8780099999999997351 GHz,0.00000294883730914220 - j0.00155135234342534825 
19.8790100000000009572 GHz,0.00000294854063901405 - j0.00155126927783137952 
19.8800099999999986267 GHz,0.00000294824401408709 - j0.00155118622034117561 
19.8810099999999998488 GHz,0.00000294794743336758 - j0.00155110317095352029 
19.8820100000000010709 GHz,0.00000294765089802892 - j0.00155102012966718797 
19.8830099999999987403 GHz,0.00000294735440699447 - j0.00155093709648095545 
19.8840099999999999625 GHz,0.00000294705796034816 - j0.00155085407139360105 
19.8850100000000011846 GHz,0.00000294676155906802 - j0.00155077105440390721 
19.8860099999999988540 GHz,0.00000294646520238534 - j0.00155068804551064467 
19.8870100000000000762 GHz,0.00000294616888986892 - j0.00155060504471259695 
19.8880100000000012983 GHz,0.00000294587262257972 - j0.00155052205200854280 
19.8890099999999989677 GHz,0.00000294557639992669 - j0.00155043906739726076 
19.8900100000000001899 GHz,0.00000294528022157341 - j0.00155035609087752981 
19.8910100000000014120 GHz,0.00000294498408835585 - j0.00155027312244812999 
19.8920099999999990814 GHz,0.00000294468799967114 - j0.00155019016210784137 
19.8930100000000003035 GHz,0.00000294439195523026 - j0.00155010720985544487 
19.8940100000000015257 GHz,0.00000294409595611789 - j0.00155002426568971860 
19.8950099999999991951 GHz,0.00000294380000146475 - j0.00154994132960944477 
19.8960100000000004172 GHz,0.00000294350409122458 - j0.00154985840161340213 
19.8970100000000016394 GHz,0.00000294320822582487 - j0.00154977548170037466 
19.8980099999999993088 GHz,0.00000294291240465095 - j0.00154969256986914306 
19.8990100000000005309 GHz,0.00000294261662833163 - j0.00154960966611848803 
19.9000100000000017531 GHz,0.00000294232089661938 - j0.00154952677044719114 
19.9010099999999994225 GHz,0.00000294202520879300 - j0.00154944388285403680 
19.9020100000000006446 GHz,0.00000294172956690832 - j0.00154936100333780418 
19.9030099999999983140 GHz,0.00000294143396831976 - j0.00154927813189727854 
19.9040099999999995362 GHz,0.00000294113841489369 - j0.00154919526853124060 
19.9050100000000007583 GHz,0.00000294084290631158 - j0.00154911241323847583 
19.9060099999999984277 GHz,0.00000294054744143186 - j0.00154902956601776429 
19.9070099999999996498 GHz,0.00000294025202133933 - j0.00154894672686789166 
19.9080100000000008720 GHz,0.00000293995664611812 - j0.00154886389578764191 
19.9090099999999985414 GHz,0.00000293966131566883 - j0.00154878107277579792 
19.9100099999999997635 GHz,0.00000293936602943017 - j0.00154869825783114428 
19.9110100000000009857 GHz,0.00000293907078701854 - j0.00154861545095246692 
19.9120099999999986551 GHz,0.00000293877558976157 - j0.00154853265213854784 
19.9130099999999998772 GHz,0.00000293848043635785 - j0.00154844986138817468 
19.9140100000000010994 GHz,0.00000293818532830674 - j0.00154836707870013228 
19.9150099999999987688 GHz,0.00000293789026438385 - j0.00154828430407320632 
19.9160099999999999909 GHz,0.00000293759524443653 - j0.00154820153750617989 
19.9170100000000012130 GHz,0.00000293730026927137 - j0.00154811877899784238 
19.9180099999999988825 GHz,0.00000293700533834495 - j0.00154803602854697710 
19.9190100000000001046 GHz,0.00000293671045236323 - j0.00154795328615237385 
19.9200100000000013267 GHz,0.00000293641561026762 - j0.00154787055181281638 
19.9210099999999989961 GHz,0.00000293612081322598 - j0.00154778782552709320 
19.9220100000000002183 GHz,0.00000293582605999619 - j0.00154770510729399023 
19.9230100000000014404 GHz,0.00000293553135095859 - j0.00154762239711229771 
19.9240099999999991098 GHz,0.00000293523668683691 - j0.00154753969498080046 
19.9250100000000003320 GHz,0.00000293494206664372 - j0.00154745700089828505 
19.9260100000000015541 GHz,0.00000293464749107909 - j0.00154737431486354562 
19.9270099999999992235 GHz,0.00000293435296015036 - j0.00154729163687536636 
19.9280100000000004457 GHz,0.00000293405847288784 - j0.00154720896693253535 
19.9290100000000016678 GHz,0.00000293376403020483 - j0.00154712630503384303 
19.9300099999999993372 GHz,0.00000293346963197247 - j0.00154704365117807946 
19.9310100000000005593 GHz,0.00000293317527804416 - j0.00154696100536403183 
19.9320099999999982288 GHz,0.00000293288096861084 - j0.00154687836759048996 
19.9330099999999994509 GHz,0.00000293258670308773 - j0.00154679573785624562 
19.9340100000000006730 GHz,0.00000293229248243556 - j0.00154671311616008818 
19.9350099999999983424 GHz,0.00000293199830493270 - j0.00154663050250080682 
19.9360099999999995646 GHz,0.00000293170417235699 - j0.00154654789687719394 
19.9370100000000007867 GHz,0.00000293141008421254 - j0.00154646529928803892 
19.9380099999999984561 GHz,0.00000293111604064887 - j0.00154638270973213440 
19.9390099999999996783 GHz,0.00000293082204060758 - j0.00154630012820826932 
19.9400100000000009004 GHz,0.00000293052808490139 - j0.00154621755471523784 
19.9410099999999985698 GHz,0.00000293023417344300 - j0.00154613498925183042 
19.9420099999999997920 GHz,0.00000292994030623393 - j0.00154605243181683946 
19.9430100000000010141 GHz,0.00000292964648342967 - j0.00154596988240905718 
19.9440099999999986835 GHz,0.00000292935270429161 - j0.00154588734102727534 
19.9450099999999999056 GHz,0.00000292905896969765 - j0.00154580480767028917 
19.9460100000000011278 GHz,0.00000292876527931775 - j0.00154572228233688979 
19.9470099999999987972 GHz,0.00000292847163333112 - j0.00154563976502587004 
19.9480100000000000193 GHz,0.00000292817803092814 - j0.00154555725573602256 
19.9490100000000012415 GHz,0.00000292788447344858 - j0.00154547475446614605 
19.9500099999999989109 GHz,0.00000292759095966834 - j0.00154539226121502859 
19.9510100000000001330 GHz,0.00000292729749009234 - j0.00154530977598146910 
19.9520100000000013551 GHz,0.00000292700406448533 - j0.00154522729876425784 
19.9530099999999990246 GHz,0.00000292671068299697 - j0.00154514482956219414 
19.9540100000000002467 GHz,0.00000292641734578283 - j0.00154506236837407022 
19.9550100000000014688 GHz,0.00000292612405238270 - j0.00154497991519868109 
19.9560099999999991383 GHz,0.00000292583080366864 - j0.00154489747003482198 
19.9570100000000003604 GHz,0.00000292553759851727 - j0.00154481503288129052 
19.9580100000000015825 GHz,0.00000292524443743949 - j0.00154473260373688063 
19.9590099999999992519 GHz,0.00000292495132038959 - j0.00154465018260038908 
19.9600100000000004741 GHz,0.00000292465824799690 - j0.00154456776947061456 
19.9610100000000016962 GHz,0.00000292436521864661 - j0.00154448536434634884 
19.9620099999999993656 GHz,0.00000292407223423523 - j0.00154440296722639365 
19.9630100000000005878 GHz,0.00000292377929368085 - j0.00154432057810954359 
19.9640099999999982572 GHz,0.00000292348639732863 - j0.00154423819699459628 
19.9650099999999994793 GHz,0.00000292319354457041 - j0.00154415582388035041 
19.9660100000000007014 GHz,0.00000292290073557962 - j0.00154407345876560274 
19.9670099999999983709 GHz,0.00000292260797092646 - j0.00154399110164915262 
19.9680099999999995930 GHz,0.00000292231525014487 - j0.00154390875252979616 
19.9690100000000008151 GHz,0.00000292202257341428 - j0.00154382641140633531 
19.9700099999999984846 GHz,0.00000292172994058838 - j0.00154374407827756596 
19.9710099999999997067 GHz,0.00000292143735175188 - j0.00154366175314228833 
19.9720100000000009288 GHz,0.00000292114480709601 - j0.00154357943599930112 
19.9730099999999985982 GHz,0.00000292085230591203 - j0.00154349712684740434 
19.9740099999999998204 GHz,0.00000292055984921426 - j0.00154341482568539907 
19.9750100000000010425 GHz,0.00000292026743607488 - j0.00154333253251208121 
19.9760099999999987119 GHz,0.00000291997506703453 - j0.00154325024732625813 
19.9770099999999999341 GHz,0.00000291968274217200 - j0.00154316797012672246 
19.9780100000000011562 GHz,0.00000291939046031082 - j0.00154308570091227963 
19.9790099999999988256 GHz,0.00000291909822269036 - j0.00154300343968172987 
19.9800100000000000477 GHz,0.00000291880602931838 - j0.00154292118643387446 
19.9810100000000012699 GHz,0.00000291851387996581 - j0.00154283894116751278 
19.9820099999999989393 GHz,0.00000291822177363384 - j0.00154275670388145177 
19.9830100000000001614 GHz,0.00000291792971166844 - j0.00154267447457448600 
19.9840100000000013836 GHz,0.00000291763769332544 - j0.00154259225324542438 
19.9850099999999990530 GHz,0.00000291734571963110 - j0.00154251003989306561 
19.9860100000000002751 GHz,0.00000291705378903002 - j0.00154242783451621294 
19.9870100000000014973 GHz,0.00000291676190203928 - j0.00154234563711367029 
19.9880099999999991667 GHz,0.00000291647005869630 - j0.00154226344768424004 
19.9890100000000003888 GHz,0.00000291617825980238 - j0.00154218126622672632 
19.9900100000000016109 GHz,0.00000291588650493311 - j0.00154209909273993174 
19.9910099999999992804 GHz,0.00000291559479300688 - j0.00154201692722266020 
19.9920100000000005025 GHz,0.00000291530312588486 - j0.00154193476967371605 
19.9930100000000017246 GHz,0.00000291501150139596 - j0.00154185262009190493 
19.9940099999999993940 GHz,0.00000291471992133625 - j0.00154177047847602815 
19.9950100000000006162 GHz,0.00000291442838476625 - j0.00154168834482489416 
19.9960099999999982856 GHz,0.00000291413689259979 - j0.00154160621913730774 
19.9970099999999995077 GHz,0.00000291384544328159 - j0.00154152410141207021 
19.9980100000000007299 GHz,0.00000291355403802158 - j0.00154144199164799305 
19.9990099999999983993 GHz,0.00000291326267618820 - j0.00154135988984387671 
20.0000099999999996214 GHz,0.00000291297135807360 - j0.00154127779599852899 
20.0010100000000008436 GHz,0.00000291268008448509 - j0.00154119571011075858 
20.0020099999999985130 GHz,0.00000291238885387928 - j0.00154111363217936852 
20.0030099999999997351 GHz,0.00000291209766690953 - j0.00154103156220316726 
20.0040100000000009572 GHz,0.00000291180652373184 - j0.00154094950018096198 
20.0050099999999986267 GHz,0.00000291151542436604 - j0.00154086744611155830 
20.0060099999999998488 GHz,0.00000291122436879644 - j0.00154078539999376600 
20.0070100000000010709 GHz,0.00000291093335614876 - j0.00154070336182638963 
20.0080099999999987403 GHz,0.00000291064238794092 - j0.00154062133160824243 
20.0090099999999999625 GHz,0.00000291035146278945 - j0.00154053930933812614 
20.0100100000000011846 GHz,0.00000291006058167345 - j0.00154045729501485463 
20.0110099999999988540 GHz,0.00000290976974389632 - j0.00154037528863723181 
20.0120100000000000762 GHz,0.00000290947894933584 - j0.00154029329020407136 
20.0130100000000012983 GHz,0.00000290918819925535 - j0.00154021129971417719 
20.0140099999999989677 GHz,0.00000290889749205234 - j0.00154012931716636251 
20.0150100000000001899 GHz,0.00000290860682919739 - j0.00154004734255943645 
20.0160100000000014120 GHz,0.00000290831620936633 - j0.00153996537589220724 
20.0170099999999990814 GHz,0.00000290802563312382 - j0.00153988341716348770 
20.0180100000000003035 GHz,0.00000290773509992134 - j0.00153980146637208433 
20.0190100000000015257 GHz,0.00000290744461067296 - j0.00153971952351681122 
20.0200099999999991951 GHz,0.00000290715416529203 - j0.00153963758859647598 
20.0210100000000004172 GHz,0.00000290686376343731 - j0.00153955566160989313 
20.0220100000000016394 GHz,0.00000290657340460177 - j0.00153947374255587093 
20.0230099999999993088 GHz,0.00000290628308996596 - j0.00153939183143322368 
20.0240100000000005309 GHz,0.00000290599281814060 - j0.00153930992824075964 
20.0250100000000017531 GHz,0.00000290570258996872 - j0.00153922803297729311 
20.0260099999999994225 GHz,0.00000290541240492557 - j0.00153914614564163539 
20.0270100000000006446 GHz,0.00000290512226416212 - j0.00153906426623259991 
20.0280099999999983140 GHz,0.00000290483216598122 - j0.00153898239474900035 
20.0290099999999995362 GHz,0.00000290454211229176 - j0.00153890053118964430 
20.0300100000000007583 GHz,0.00000290425210096437 - j0.00153881867555335215 
20.0310099999999984277 GHz,0.00000290396213346387 - j0.00153873682783893235 
20.0320099999999996498 GHz,0.00000290367220968003 - j0.00153865498804519967 
20.0330100000000008720 GHz,0.00000290338232959147 - j0.00153857315617097080 
20.0340099999999985414 GHz,0.00000290309249229453 - j0.00153849133221505398 
20.0350099999999997635 GHz,0.00000290280269876854 - j0.00153840951617627069 
20.0360100000000009857 GHz,0.00000290251294812761 - j0.00153832770805342788 
20.0370099999999986551 GHz,0.00000290222324107278 - j0.00153824590784534766 
20.0380099999999998772 GHz,0.00000290193357810376 - j0.00153816411555083893 
20.0390100000000010994 GHz,0.00000290164395719785 - j0.00153808233116872100 
20.0400099999999987688 GHz,0.00000290135438025217 - j0.00153800055469780817 
20.0410099999999999909 GHz,0.00000290106484670065 - j0.00153791878613691716 
20.0420100000000012130 GHz,0.00000290077535683579 - j0.00153783702548486076 
20.0430099999999988825 GHz,0.00000290048590954086 - j0.00153775527274045915 
20.0440100000000001046 GHz,0.00000290019650632224 - j0.00153767352790252620 
20.0450100000000013267 GHz,0.00000289990714535857 - j0.00153759179096988013 
20.0460099999999989961 GHz,0.00000289961782896154 - j0.00153751006194133679 
20.0470100000000002183 GHz,0.00000289932855570653 - j0.00153742834081571503 
20.0480100000000014404 GHz,0.00000289903932476107 - j0.00153734662759182940 
20.0490099999999991098 GHz,0.00000289875013795131 - j0.00153726492226849963 
20.0500100000000003320 GHz,0.00000289846099459877 - j0.00153718322484454415 
20.0510100000000015541 GHz,0.00000289817189371701 - j0.00153710153531877924 
20.0520099999999992235 GHz,0.00000289788283632696 - j0.00153701985369002398 
20.0530100000000004457 GHz,0.00000289759382215868 - j0.00153693817995709855 
20.0540100000000016678 GHz,0.00000289730485086529 - j0.00153685651411881920 
20.0550099999999993372 GHz,0.00000289701592391773 - j0.00153677485617400742 
20.0560100000000005593 GHz,0.00000289672703881381 - j0.00153669320612148013 
20.0570099999999982288 GHz,0.00000289643819825016 - j0.00153661156396005748 
20.0580099999999994509 GHz,0.00000289614940025160 - j0.00153652992968855966 
20.0590100000000006730 GHz,0.00000289586064542460 - j0.00153644830330580749 
20.0600099999999983424 GHz,0.00000289557193362956 - j0.00153636668481062113 
20.0610099999999995646 GHz,0.00000289528326512955 - j0.00153628507420181990 
20.0620100000000007867 GHz,0.00000289499463992117 - j0.00153620347147822504 
20.0630099999999984561 GHz,0.00000289470605774642 - j0.00153612187663865760 
20.0640099999999996783 GHz,0.00000289441751891576 - j0.00153604028968193861 
20.0650100000000009004 GHz,0.00000289412902295806 - j0.00153595871060688955 
20.0660099999999985698 GHz,0.00000289384056985218 - j0.00153587713941233145 
20.0670099999999997920 GHz,0.00000289355216101586 - j0.00153579557609708774 
20.0680100000000010141 GHz,0.00000289326379463980 - j0.00153571402065997946 
20.0690099999999986835 GHz,0.00000289297547099897 - j0.00153563247309982916 
20.0700099999999999056 GHz,0.00000289268719123283 - j0.00153555093341545918 
20.0710100000000011278 GHz,0.00000289239895405315 - j0.00153546940160569296 
20.0720099999999987972 GHz,0.00000289211075933231 - j0.00153538787766935173 
20.0730100000000000193 GHz,0.00000289182260850583 - j0.00153530636160526218 
20.0740100000000012415 GHz,0.00000289153450068226 - j0.00153522485341224448 
20.0750099999999989109 GHz,0.00000289124643547934 - j0.00153514335308912466 
20.0760100000000001330 GHz,0.00000289095841365765 - j0.00153506186063472635 
20.0770100000000013551 GHz,0.00000289067043519614 - j0.00153498037604787342 
20.0780099999999990246 GHz,0.00000289038249984881 - j0.00153489889932738885 
20.0790100000000002467 GHz,0.00000289009460660576 - j0.00153481743047209932 
20.0800100000000014688 GHz,0.00000288980675678422 - j0.00153473596948082956 
20.0810099999999991383 GHz,0.00000288951895004935 - j0.00153465451635240277 
20.0820100000000003604 GHz,0.00000288923118628542 - j0.00153457307108564693 
20.0830100000000015825 GHz,0.00000288894346529974 - j0.00153449163367938763 
20.0840099999999992519 GHz,0.00000288865578763976 - j0.00153441020413244938 
20.0850100000000004741 GHz,0.00000288836815248516 - j0.00153432878244365734 
20.0860100000000016962 GHz,0.00000288808056120647 - j0.00153424736861184101 
20.0870099999999993656 GHz,0.00000288779301178138 - j0.00153416596263582466 
20.0880100000000005878 GHz,0.00000288750550592384 - j0.00153408456451443564 
20.0890099999999982572 GHz,0.00000288721804271291 - j0.00153400317424650105 
20.0900099999999994793 GHz,0.00000288693062312835 - j0.00153392179183084692 
20.0910100000000007014 GHz,0.00000288664324565117 - j0.00153384041726630318 
20.0920099999999983709 GHz,0.00000288635591157497 - j0.00153375905055169542 
20.0930099999999995930 GHz,0.00000288606862013872 - j0.00153367769168585399 
20.0940100000000008151 GHz,0.00000288578137158203 - j0.00153359634066760407 
20.0950099999999984846 GHz,0.00000288549416597286 - j0.00153351499749577601 
20.0960099999999997067 GHz,0.00000288520700291136 - j0.00153343366216919909 
20.0970100000000009288 GHz,0.00000288491988346618 - j0.00153335233468669999 
20.0980099999999985982 GHz,0.00000288463280653878 - j0.00153327101504710950 
20.0990099999999998204 GHz,0.00000288434577177083 - j0.00153318970324925756 
20.1000100000000010425 GHz,0.00000288405878067505 - j0.00153310839929197084 
20.1010099999999987119 GHz,0.00000288377183214112 - j0.00153302710317408360 
20.1020099999999999341 GHz,0.00000288348492656861 - j0.00153294581489442144 
20.1030100000000011562 GHz,0.00000288319806372356 - j0.00153286453445181776 
20.1040099999999988256 GHz,0.00000288291124344302 - j0.00153278326184510139 
20.1050100000000000477 GHz,0.00000288262446632793 - j0.00153270199707310488 
20.1060100000000012699 GHz,0.00000288233773122062 - j0.00153262074013465685 
20.1070099999999989393 GHz,0.00000288205103990628 - j0.00153253949102859026 
20.1080100000000001614 GHz,0.00000288176439081276 - j0.00153245824975373635 
20.1090100000000013836 GHz,0.00000288147778505618 - j0.00153237701630892656 
20.1100099999999990530 GHz,0.00000288119122117692 - j0.00153229579069299256 
20.1110100000000002751 GHz,0.00000288090470119703 - j0.00153221457290476709 
20.1120100000000014973 GHz,0.00000288061822257927 - j0.00153213336294308138 
20.1130099999999991667 GHz,0.00000288033178753519 - j0.00153205216080677079 
20.1140100000000003888 GHz,0.00000288004539529206 - j0.00153197096649466307 
20.1150100000000016109 GHz,0.00000287975904502980 - j0.00153188978000559813 
20.1160099999999992804 GHz,0.00000287947273792971 - j0.00153180860133840437 
20.1170100000000005025 GHz,0.00000287918647378160 - j0.00153172743049191694 
20.1180100000000017246 GHz,0.00000287890025242859 - j0.00153164626746497010 
20.1190099999999993940 GHz,0.00000287861407289074 - j0.00153156511225639507 
20.1200100000000006162 GHz,0.00000287832793701849 - j0.00153148396486503047 
20.1210099999999982856 GHz,0.00000287804184318651 - j0.00153140282528970773 
20.1220099999999995077 GHz,0.00000287775579213204 - j0.00153132169352926070 
20.1230100000000007299 GHz,0.00000287746978343181 - j0.00153124056958252775 
20.1240099999999983993 GHz,0.00000287718381816057 - j0.00153115945344834336 
20.1250099999999996214 GHz,0.00000287689789492397 - j0.00153107834512554008 
20.1260100000000008436 GHz,0.00000287661201402112 - j0.00153099724461295563 
20.1270099999999985130 GHz,0.00000287632617640840 - j0.00153091615190942623 
20.1280099999999997351 GHz,0.00000287604038119476 - j0.00153083506701378724 
20.1290100000000009572 GHz,0.00000287575462840106 - j0.00153075398992487551 
20.1300099999999986267 GHz,0.00000287546891872908 - j0.00153067292064152619 
20.1310099999999998488 GHz,0.00000287518325077267 - j0.00153059185916257787 
20.1320100000000010709 GHz,0.00000287489762589679 - j0.00153051080548686743 
20.1330099999999987403 GHz,0.00000287461204342363 - j0.00153042975961322934 
20.1340099999999999625 GHz,0.00000287432650346881 - j0.00153034872154050633 
20.1350100000000011846 GHz,0.00000287404100622492 - j0.00153026769126753137 
20.1360099999999988540 GHz,0.00000287375555159444 - j0.00153018666879314391 
20.1370100000000000762 GHz,0.00000287347013910089 - j0.00153010565411618301 
20.1380100000000012983 GHz,0.00000287318476932178 - j0.00153002464723548531 
20.1390099999999989677 GHz,0.00000287289944243790 - j0.00152994364814989224 
20.1400100000000001899 GHz,0.00000287261415762937 - j0.00152986265685823935 
20.1410100000000014120 GHz,0.00000287232891558031 - j0.00152978167335936959 
20.1420099999999990814 GHz,0.00000287204371589717 - j0.00152970069765211874 
20.1430100000000003035 GHz,0.00000287175855799694 - j0.00152961972973532866 
20.1440100000000015257 GHz,0.00000287147344371839 - j0.00152953876960783774 
20.1450099999999991951 GHz,0.00000287118837139495 - j0.00152945781726848608 
20.1460100000000004172 GHz,0.00000287090334106537 - j0.00152937687271611470 
20.1470100000000016394 GHz,0.00000287061835399999 - j0.00152929593594956456 
20.1480099999999993088 GHz,0.00000287033340851450 - j0.00152921500696767362 
20.1490100000000005309 GHz,0.00000287004850603916 - j0.00152913408576928677 
20.1500100000000017531 GHz,0.00000286976364605614 - j0.00152905317235324262 
20.1510099999999994225 GHz,0.00000286947882845619 - j0.00152897226671838389 
20.1520100000000006446 GHz,0.00000286919405314784 - j0.00152889136886354983 
20.1530099999999983140 GHz,0.00000286890931992711 - j0.00152881047878758599 
20.1540099999999995362 GHz,0.00000286862462966769 - j0.00152872959648933117 
20.1550100000000007583 GHz,0.00000286833998079191 - j0.00152864872196762877 
20.1560099999999984277 GHz,0.00000286805537551168 - j0.00152856785522132300 
20.1570099999999996498 GHz,0.00000286777081117168 - j0.00152848699624925552 
20.1580100000000008720 GHz,0.00000286748629046343 - j0.00152840614505026710 
20.1590099999999985414 GHz,0.00000286720181160798 - j0.00152832530162320306 
20.1600099999999997635 GHz,0.00000286691737481589 - j0.00152824446596690850 
20.1610100000000009857 GHz,0.00000286663298081288 - j0.00152816363808022443 
20.1620099999999986551 GHz,0.00000286634862890359 - j0.00152808281796199463 
20.1630099999999998772 GHz,0.00000286606431954731 - j0.00152800200561106791 
20.1640100000000010994 GHz,0.00000286578005221448 - j0.00152792120102628330 
20.1650099999999987688 GHz,0.00000286549582700913 - j0.00152784040420648635 
20.1660099999999999909 GHz,0.00000286521164490571 - j0.00152775961515052368 
20.1670100000000012130 GHz,0.00000286492750460494 - j0.00152767883385724061 
20.1680099999999988825 GHz,0.00000286464340609836 - j0.00152759806032548031 
20.1690100000000001046 GHz,0.00000286435935009400 - j0.00152751729455408961 
20.1700100000000013267 GHz,0.00000286407533651827 - j0.00152743653654191340 
20.1710099999999989961 GHz,0.00000286379136482985 - j0.00152735578628779918 
20.1720100000000002183 GHz,0.00000286350743606837 - j0.00152727504379059141 
20.1730100000000014404 GHz,0.00000286322354924842 - j0.00152719430904913931 
20.1740099999999991098 GHz,0.00000286293970448593 - j0.00152711358206228647 
20.1750100000000003320 GHz,0.00000286265590189685 - j0.00152703286282888126 
20.1760100000000015541 GHz,0.00000286237214164451 - j0.00152695215134777073 
20.1770099999999992235 GHz,0.00000286208842379750 - j0.00152687144761780194 
20.1780100000000004457 GHz,0.00000286180474813430 - j0.00152679075163782390 
20.1790100000000016678 GHz,0.00000286152111347411 - j0.00152671006340668195 
20.1800099999999993372 GHz,0.00000286123752236657 - j0.00152662938292322595 
20.1810100000000005593 GHz,0.00000286095397249996 - j0.00152654871018630340 
20.1820099999999982288 GHz,0.00000286067046525150 - j0.00152646804519476396 
20.1830099999999994509 GHz,0.00000286038700012733 - j0.00152638738794745599 
20.1840100000000006730 GHz,0.00000286010357705399 - j0.00152630673844322742 
20.1850099999999983424 GHz,0.00000285982019656197 - j0.00152622609668092639 
20.1860099999999995646 GHz,0.00000285953685783179 - j0.00152614546265940646 
20.1870100000000007867 GHz,0.00000285925356079590 - j0.00152606483637751319 
20.1880099999999984561 GHz,0.00000285897030607959 - j0.00152598421783409839 
20.1890099999999996783 GHz,0.00000285868709346734 - j0.00152590360702801217 
20.1900100000000009004 GHz,0.00000285840392309297 - j0.00152582300395810418 
20.1910099999999985698 GHz,0.00000285812079484163 - j0.00152574240862322517 
20.1920099999999997920 GHz,0.00000285783770879388 - j0.00152566182102222719 
20.1930100000000010141 GHz,0.00000285755466415986 - j0.00152558124115396033 
20.1940099999999986835 GHz,0.00000285727166190240 - j0.00152550066901727469 
20.1950099999999999056 GHz,0.00000285698870184155 - j0.00152542010461102252 
20.1960100000000011278 GHz,0.00000285670578378552 - j0.00152533954793405784 
20.1970099999999987972 GHz,0.00000285642290783860 - j0.00152525899898522791 
20.1980100000000000193 GHz,0.00000285614007342412 - j0.00152517845776338826 
20.1990100000000012415 GHz,0.00000285585728184247 - j0.00152509792426739179 
20.2000099999999989109 GHz,0.00000285557453106632 - j0.00152501739849608860 
20.2010100000000001330 GHz,0.00000285529182374017 - j0.00152493688044833334 
20.2020100000000013551 GHz,0.00000285500915729789 - j0.00152485637012297762 
20.2030099999999990246 GHz,0.00000285472653338923 - j0.00152477586751887675 
20.2040100000000002467 GHz,0.00000285444395084548 - j0.00152469537263488189 
20.2050100000000014688 GHz,0.00000285416141097889 - j0.00152461488546984858 
20.2060099999999991383 GHz,0.00000285387891253195 - j0.00152453440602263101 
20.2070100000000003604 GHz,0.00000285359645613007 - j0.00152445393429208212 
20.2080100000000015825 GHz,0.00000285331404198421 - j0.00152437347027705589 
20.2090099999999992519 GHz,0.00000285303166939937 - j0.00152429301397640914 
20.2100100000000004741 GHz,0.00000285274933864574 - j0.00152421256538899500 
20.2110100000000016962 GHz,0.00000285246704996389 - j0.00152413212451366900 
20.2120099999999993656 GHz,0.00000285218480313256 - j0.00152405169134928729 
20.2130100000000005878 GHz,0.00000285190259822653 - j0.00152397126589470236 
20.2140099999999982572 GHz,0.00000285162043518445 - j0.00152389084814877622 
20.2150099999999994793 GHz,0.00000285133831459625 - j0.00152381043811035876 
20.2160100000000007014 GHz,0.00000285105623510384 - j0.00152373003577830853 
20.2170099999999983709 GHz,0.00000285077419802550 - j0.00152364964115148192 
20.2180099999999995930 GHz,0.00000285049220227551 - j0.00152356925422873551 
20.2190100000000008151 GHz,0.00000285021024885243 - j0.00152348887500892700 
20.2200099999999984846 GHz,0.00000284992833639818 - j0.00152340850349091321 
20.2210099999999997067 GHz,0.00000284964646652714 - j0.00152332813967355073 
20.2220100000000009288 GHz,0.00000284936463827204 - j0.00152324778355569681 
20.2230099999999985982 GHz,0.00000284908285190317 - j0.00152316743513621197 
20.2240099999999998204 GHz,0.00000284880110741251 - j0.00152308709441395084 
20.2250100000000010425 GHz,0.00000284851940467364 - j0.00152300676138777350 
20.2260099999999987119 GHz,0.00000284823774345947 - j0.00152292643605653763 
20.2270099999999999341 GHz,0.00000284795612407585 - j0.00152284611841910331 
20.2280100000000011562 GHz,0.00000284767454663322 - j0.00152276580847433038 
20.2290099999999988256 GHz,0.00000284739301076240 - j0.00152268550622107262 
20.2300100000000000477 GHz,0.00000284711151672191 - j0.00152260521165819510 
20.2310100000000012699 GHz,0.00000284683006437942 - j0.00152252492478455550 
20.2320099999999989393 GHz,0.00000284654865395200 - j0.00152244464559901497 
20.2330100000000001614 GHz,0.00000284626728531330 - j0.00152236437410043055 
20.2340100000000013836 GHz,0.00000284598595814154 - j0.00152228411028766512 
20.2350099999999990530 GHz,0.00000284570467253538 - j0.00152220385415957789 
20.2360100000000002751 GHz,0.00000284542342884811 - j0.00152212360571503109 
20.2370100000000014973 GHz,0.00000284514222685274 - j0.00152204336495288285 
20.2380099999999991667 GHz,0.00000284486106632817 - j0.00152196313187199844 
20.2390100000000003888 GHz,0.00000284457994827316 - j0.00152188290647123576 
20.2400100000000016109 GHz,0.00000284429887100410 - j0.00152180268874945921 
20.2410099999999992804 GHz,0.00000284401783583353 - j0.00152172247870552757 
